graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes
068.pt,068,dataset/analogies/068.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/068.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/068.pt,gemma-4-31b-it,0.2,one_pass,ok,13,8
069.pt,069,dataset/analogies/069.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/069.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/069.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
070.pt,070,dataset/analogies/070.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/070.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/070.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8
071.pt,071,dataset/analogies/071.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/071.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/071.pt,gemma-4-31b-it,0.2,one_pass,ok,15,13
072.pt,072,dataset/analogies/072.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/072.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/072.pt,gemma-4-31b-it,0.2,one_pass,ok,14,10
073.pt,073,dataset/analogies/073.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/073.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/073.pt,gemma-4-31b-it,0.2,one_pass,ok,16,11
074.pt,074,dataset/analogies/074.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/074.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/074.pt,gemma-4-31b-it,0.2,one_pass,ok,16,13
075.pt,075,dataset/analogies/075.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/075.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/075.pt,gemma-4-31b-it,0.2,one_pass,ok,14,9
076.pt,076,dataset/analogies/076.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/076.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/076.pt,gemma-4-31b-it,0.2,one_pass,ok,15,9
077.pt,077,dataset/analogies/077.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/077.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/077.pt,gemma-4-31b-it,0.2,one_pass,ok,15,8
078.pt,078,dataset/analogies/078.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/078.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/078.pt,gemma-4-31b-it,0.2,one_pass,ok,17,14
079.pt,079,dataset/analogies/079.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/079.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/079.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
080.pt,080,dataset/analogies/080.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/080.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/080.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8
081.pt,081,dataset/analogies/081.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/081.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/081.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11
082.pt,082,dataset/analogies/082.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/082.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/082.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8
083.pt,083,dataset/analogies/083.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/083.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/083.pt,gemma-4-31b-it,0.2,one_pass,ok,14,10
084.pt,084,dataset/analogies/084.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/084.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/084.pt,gemma-4-31b-it,0.2,one_pass,ok,9,5
085.pt,085,dataset/analogies/085.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/085.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/085.pt,gemma-4-31b-it,0.2,one_pass,ok,10,7
086.pt,086,dataset/analogies/086.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/086.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/086.pt,gemma-4-31b-it,0.2,one_pass,ok,13,9
